workflow_id,display_name,version,active,classifications_count,pairwise,grouped,prioritized,primary_language,first_task,tutorial_subject_id,retired_set_member_subjects_count,tasks,retirement,strings,minor_version
22075,"Identify dolphins, whales and ships",1,false,4,false,false,false,en,"",,0,{},"{""options"":{""count"":5},""criteria"":""classification_count""}",{},1
22075,"Identify dolphins, whales and ships",2,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.question"":""Enter a question.""}",2
22075,"Identify dolphins, whales and ships",3,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":"""",""T1.help"":"""",""T0.question"":""Enter a question."",""T1.question"":""Enter a question.""}",3
22075,"Identify dolphins, whales and ships",3,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":"""",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question.""}",4
22075,"Identify dolphins, whales and ships",3,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question.""}",5
22075,"Identify dolphins, whales and ships",4,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""multiple"",""answers"":[],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question.""}",5
22075,"Identify dolphins, whales and ships",5,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""multiple"",""answers"":[{""label"":""T0.answers.0.label""}],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question."",""T0.answers.0.label"":""Enter an answer""}",6
22075,"Identify dolphins, whales and ships",5,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""multiple"",""answers"":[{""label"":""T0.answers.0.label""}],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question."",""T0.answers.0.label"":""Whale sounds""}",7
22075,"Identify dolphins, whales and ships",6,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""multiple"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question."",""T0.answers.0.label"":""Whale sounds"",""T0.answers.1.label"":""Enter an answer""}",8
22075,"Identify dolphins, whales and ships",6,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""multiple"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question."",""T0.answers.0.label"":""Whale sounds"",""T0.answers.1.label"":""Ship noise""}",9
22075,"Identify dolphins, whales and ships",7,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""multiple"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question"",""required"":true},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question."",""T0.answers.0.label"":""Whale sounds"",""T0.answers.1.label"":""Ship noise""}",9
22075,"Identify dolphins, whales and ships",8,false,4,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""single"",""answers"":[{""label"":""T0.answers.0.label""},{""label"":""T0.answers.1.label""}],""question"":""T0.question"",""required"":true},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""options"":{""count"":5},""criteria"":""classification_count""}","{""T0.help"":""Don't forget to make sure your volume is up!"",""T1.help"":"""",""T0.question"":""What do you hear?"",""T1.question"":""Enter a question."",""T0.answers.0.label"":""Whale sounds"",""T0.answers.1.label"":""Ship noise""}",9
